['UV', 83, 'CV', 105, 'addr2line', 'pwd', 'V0', 'V3', 0.8695692109855792, 0.9897873401641846]
['BV', 13, 'CV', 214, 'cp', 'ls', 'V2', 'V0', 0.14738929279576996, 0.12544012069702148]
['CV', 295, 'UV', 3, 'echo', 'diff3', 'V1', 'V2', 0.47150259067357514, 0.029540061950683594]
['BV', 33, 'CV', 306, 'openssl', 'cp', 'V0', 'V1', 0.9478361758904745, 7.421018600463867]
['CV', 188, 'UV', 28, 'dirname', 'strings', 'V0', 'V3', 0.9332030886594102, 1.1458954811096191]
['CV', 41, 'BV', 81, 'nice', 'dot', 'V2', 'V1', 0.41813261163734783, 0.012804508209228516]
['CV', 16, 'UV', 22, 'dd', 'nm', 'V2', 'V3', 0.8321280991735537, 1.3966877460479736]
['UV', 31, 'CV', 71, 'gprof', '[', 'V3', 'V2', 0.8964618875535759, 1.1592085361480713]
['UV', 69, 'BV', 2, 'sdiff', 'cmp', 'V0', 'V1', 0.15319389485585078, 0.047455549240112305]
['BV', 12, 'CV', 223, 'sort', 'tsort', 'V2', 'V0', 0.5796743956586088, 0.053574562072753906]
['UV', 65, 'CV', 236, 'objdump', 'unexpand', 'V1', 'V0', 0.9471035995355438, 1.6509761810302734]
['CV', 54, 'UV', 2, 'false', 'find', 'V2', 'V2', 0.7768041237113402, 0.17829561233520508]
['BV', 63, 'CV', 287, 'ruby', 'date', 'V0', 'V1', 0.9743461669097521, 11.21025538444519]
['UV', 80, 'CV', 189, 'objcopy', 'uptime', 'V0', 'V0', 0.9297403447523456, 1.3232367038726807]
['BV', 82, 'CV', 203, 'gvmap', 'tail', 'V1', 'V0', 0.6083493545729195, 0.14490151405334473]
['CV', 181, 'BV', 37, 'dir', 'geany', 'V0', 'V1', 0.9494134897360704, 31.937684774398804]
['UV', 44, 'CV', 342, 'diff3', 'sleep', 'V1', 'V1', 0.3977433004231312, 0.03219890594482422]
['CV', 279, 'UV', 22, 'pwd', 'nm', 'V1', 'V3', 0.9171245833708674, 1.2135727405548096]
['BV', 65, 'CV', 188, 'ssh', 'dirname', 'V1', 'V0', 0.9758037339084721, 4.120274066925049]
['UV', 19, 'CV', 298, 'elfedit', 'seq', 'V2', 'V1', 0.2304900181488203, 0.024089336395263672]
['CV', 47, 'UV', 74, 'od', 'strip', 'V2', 'V0', 0.8755832037325039, 1.6609044075012207]
['BV', 78, 'CV', 239, 'make', 'env', 'V2', 'V0', 0.854868720281166, 0.20633816719055176]
['CV', 237, 'BV', 40, 'mv', 'lua', 'V0', 'V2', 0.6647609147609148, 0.5796256065368652]
['CV', 60, 'BV', 32, 'hostid', 'perl', 'V2', 'V0', 0.96003533717555, 2.513383150100708]
['UV', 69, 'CV', 207, 'sdiff', 'sync', 'V0', 'V0', 0.5, 0.029934167861938477]
['UV', 4, 'CV', 341, 'cmp', 'uniq', 'V2', 'V1', 0.16704805491990848, 0.031186580657958984]
['UV', 82, 'CV', 130, 'gprof', 'chmod', 'V0', 'V3', 0.8182565113795087, 1.1534156799316406]
['CV', 248, 'BV', 42, 'pathchk', 'libvlc.so', 'V0', 'V1', 0.8280340349305867, 0.28803443908691406]
['UV', 34, 'CV', 81, 'elfedit', 'sleep', 'V3', 'V2', 0.20846394984326022, 0.029046058654785156]
['CV', 239, 'UV', 15, 'env', 'ld', 'V0', 'V2', 0.9565647815864373, 1.963120937347412]
